dialog_id,speaker,text
0,spk0,"Say , Jim , how about going for a few beers after dinner ? "
0,spk1, You know that is tempting but is really not good for our fitness . 
0,spk0, What do you mean ? It will help us to relax . 
0,spk1, Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? 
0,spk0, I guess you are right.But what shall we do ? I don't feel like sitting at home . 
0,spk1, I suggest a walk over to the gym where we can play singsong and meet some of our friends . 
0,spk0, That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . 
0,spk1," Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . "
0,spk0, Good.Let ' s go now . 
0,spk1, All right . 
1,spk0,Can you do push-ups ? 
1,spk1," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
1,spk0, Really ? I think that's impossible ! 
1,spk1, You mean 30 push-ups ? 
1,spk0, Yeah ! 
1,spk1," It's easy . If you do exercise everyday , you can make it , too . "
2,spk0,Can you study with the radio on ? 
2,spk1," No , I listen to background music . "
2,spk0, What is the difference ? 
2,spk1, The radio has too many comerials . 
2,spk0," That's true , but then you have to buy a record player . "
3,spk0,Are you all right ? 
3,spk1, I will be all right soon . I was terrified when I watched them fall from the wire . 
3,spk0, Don't worry.He is an acrobat 。 
3,spk1, I see . 
4,spk0,"Hey John , nice skates . Are they new ? "
4,spk1," Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . "
4,spk0, What position do you play ? 
4,spk1, I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . 
4,spk0," Yeah , you ’ re a pretty big guy . I play goalie , myself . "
4,spk1," Oh , yeah ? Which team ? "
4,spk0, The Rockets . 
4,spk1," Really ? I think we play you guys next week . Well , I have to go to practice . See you later . "
4,spk0," All right , see you later . "
5,spk0,"Hey Lydia , what are you reading ? "
5,spk1," I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! "
5,spk0, What are you talking about ? Let me see that ... What are horoscopes ? 
5,spk1," It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? "
5,spk0, January 5th . 
5,spk1," Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! "
5,spk0," That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . "
5,spk1," No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . "
5,spk0," Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? "
5,spk1, A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! 
6,spk0,"Frank ’ s getting married , do you believe this ? "
6,spk1, Is he really ? 
6,spk0," Yes , he is . He loves the girl very much . "
6,spk1, Who is he marring ? 
6,spk0," A girl he met on holiday in Spain , I think . "
6,spk1, Have they set a date for the wedding ? 
6,spk0, Not yet . 
7,spk0,I hear you bought a new house in the northern suburbs . 
7,spk1," That ’ s right , we bought it the same day we came on the market . "
7,spk0, What kind of house is it ? 
7,spk1, It ’ s a wonderful Spanish style . 
7,spk0," Oh , I love the roof tiles on Spanish style houses . "
7,spk1, And it ’ s a bargaining . A house like this in river side costs double the price . 
7,spk0," Great , is it a two bedroom house ? "
7,spk1," No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . "
7,spk0, That ’ s a nice area too . It ’ ll be a good investment for you . 
7,spk1," Yeas , when will you buy a house ? "
7,spk0," Not untill the end of this year , you know , just before my wedding . "
7,spk1," Right , congratulations . "
7,spk0, Thank you . 
8,spk0,"Hi , Becky , what's up ? "
8,spk1," Not much , except that my mother-in-law is driving me up the wall . "
8,spk0, What's the problem ? 
8,spk1, She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . 
8,spk0, For example ? 
8,spk1," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
8,spk0," No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . "
8,spk1, It's not just that . She also criticizes how we raise the kids . 
8,spk0," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
8,spk1, You said she used to ? How did you stop her ? 
8,spk0," We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . "
8,spk1, That sounds like a good idea . I'll have to try that . 
9,spk0,How are Zina's new programmers working out ? 
9,spk1," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
9,spk0," So you'll make the Stars.com deadline , and have us up and running next week ? "
